Dataset,Bild,BestRadius,DiceScore
N2DL-HeLa,t75.tif,80,0.360358261607518
N2DL-HeLa,t13.tif,260,0.8059666431759455
N2DL-HeLa,t52.tif,260,0.8278150089576007
N2DL-HeLa,t79.tif,80,0.376984044086619
NIH3T3,dna-0.png,320,0.9215652393387243
NIH3T3,dna-30.png,270,0.7869347275373255
NIH3T3,dna-31.png,290,0.8538222782198309
NIH3T3,dna-1.png,320,0.9101514125624344
NIH3T3,dna-33.png,320,0.7955372052871416
NIH3T3,dna-27.png,290,0.8454215599462149
NIH3T3,dna-26.png,290,0.8413257580136171
NIH3T3,dna-32.png,170,0.6874468078752713
NIH3T3,dna-37.png,320,0.741452689591564
NIH3T3,dna-47.png,320,0.7824670742731167
NIH3T3,dna-46.png,300,0.732374901928977
NIH3T3,dna-44.png,260,0.8704824467364439
NIH3T3,dna-45.png,230,0.8323895420168687
NIH3T3,dna-40.png,310,0.7680498722547474
NIH3T3,dna-42.png,250,0.7091746971621744
NIH3T3,dna-49.png,210,0.873154844759826
NIH3T3,dna-28.png,320,0.8025233815773077
NIH3T3,dna-29.png,300,0.7488486050338053
N2DH-GOWT1,t72.tif,300,0.4545691819009751
N2DH-GOWT1,t39.tif,320,0.3832389441129752
N2DH-GOWT1,t01.tif,320,0.3705289209210548
N2DH-GOWT1,t31.tif,320,0.36441099433042673
N2DH-GOWT1,t21.tif,320,0.3716876692969026
N2DH-GOWT1,t52.tif,280,0.42948811472257076
