Dataset,Bild,BestRadius,DiceScore
N2DL-HeLa,t75.tif,70,0.36033887563997796
N2DL-HeLa,t13.tif,270,0.8059666431759455
N2DL-HeLa,t52.tif,270,0.8278150089576007
N2DL-HeLa,t79.tif,90,0.3763566246595424
NIH3T3,dna-0.png,790,0.9587321189667593
NIH3T3,dna-30.png,270,0.7869347275373255
NIH3T3,dna-31.png,290,0.8538222782198309
NIH3T3,dna-1.png,450,0.9199790403473314
NIH3T3,dna-33.png,370,0.7972910020045738
NIH3T3,dna-27.png,290,0.8454215599462149
NIH3T3,dna-26.png,290,0.8413257580136171
NIH3T3,dna-32.png,170,0.6874468078752713
NIH3T3,dna-37.png,350,0.7418060406057736
NIH3T3,dna-47.png,650,0.7963884771193952
NIH3T3,dna-46.png,290,0.7321294346978557
NIH3T3,dna-44.png,250,0.8702413856642712
NIH3T3,dna-45.png,230,0.8323895420168687
NIH3T3,dna-40.png,310,0.7680498722547474
NIH3T3,dna-42.png,250,0.7091746971621744
NIH3T3,dna-49.png,210,0.873154844759826
NIH3T3,dna-28.png,310,0.8023324898941088
NIH3T3,dna-29.png,290,0.7487814649728446
N2DH-GOWT1,t72.tif,790,0.460412732864138
N2DH-GOWT1,t39.tif,790,0.4255171063792766
N2DH-GOWT1,t01.tif,790,0.40021383513311237
N2DH-GOWT1,t31.tif,790,0.39985305719327197
N2DH-GOWT1,t21.tif,790,0.4028631699292596
N2DH-GOWT1,t52.tif,770,0.43574355320001784
